M,error M,N,error N
1.50597,0.00151,2833.41448,53.22983
1.60854,0.00161,2480.8981,49.80861
1.70322,0.0017,2117.44121,46.01566
1.80579,0.00181,1816.49026,42.6203
1.90441,0.0019,1484.4708,38.52883
2.10166,0.0021,1075.8637,32.80036
2.20029,0.0022,874.73512,29.57592
2.30286,0.0023,724.04131,26.90802
2.39754,0.0024,572.3697,23.92425
2.5001,0.0025,452.47014,21.27135
2.60267,0.0026,359.51953,18.961
2.70524,0.00271,303.72908,17.42782
2.79992,0.0028,234.04711,15.2986
2.89855,0.0029,167.04407,12.92455
3.09974,0.0031,119.22266,10.91891
3.19837,0.0032,96.19427,9.80787
3.29699,0.0033,67.95766,8.24364
3.39956,0.0034,53.44812,7.31082
3.49424,0.00349,42.03649,6.48356
3.59681,0.0036,34.09072,5.83873
3.69938,0.0037,28.36235,5.32563
3.80195,0.0038,21.30408,4.61563
3.89663,0.0039,15.92077,3.99008
3.9992,0.004,11.83712,3.44051
4.10177,0.0041,10.90781,3.3027
4.20434,0.0042,10.57845,3.25245
4.29507,0.0043,9.07494,3.01246
4.39764,0.0044,7.10098,2.66477
4.49626,0.0045,4.94026,2.22267
4.79608,0.0048,3.04031,1.74365
5.39177,0.00539,2.05132,1.43224
